coefficient,objective,nh3_t,lcoa_usd_t,mod_units_started,start_events,units_stopped,startup_energy_mwh,startup_penalty_usd,mean_online,min_online,max_online,ael_energy_gwh
0,36776309.5932742,689.685715039589,53880.2873920887,31,8,27,23.25,0,23.0833333333333,4,26,6.90606523737906
0.053,36777541.8432742,689.685715039589,53880.2873920887,31,8,27,23.25,1232.25,23.0277777777778,4,26,6.90606523737906
0.5,36788185.7328288,686.49326050908,54128.626771043,31,8,27,23.25,11625,23.0416666666667,4,26,6.87409806918304
