floor,risk_hours,risk_fraction,max_deficit_kg,cum_deficit_kg,extra_ael_mwh,extra_ael_share_of_renewables,nh3_in_deficit_hours_t
0,0,0,0,0,0,0,0
0.05,59,0.349112426035503,329.56,14330.8932493096,797.223701007435,0.0405002794602545,527.948687630797
0.1,71,0.420118343195266,659.12,35669.518069294,1984.28560688106,0.100804982975405,644.554184947802
0.2,100,0.591715976331361,1318.24,91523.7405277252,5091.44083932606,0.258653595706552,944.70749499893
0.3,129,0.763313609467456,1977.36,167171.870973579,9299.72579959832,0.472441415516771,1207.06515490789
0.4,144,0.85207100591716,2636.48,257588.106739989,14329.5564497101,0.727965111952109,1333.85216770004
0.5,151,0.893491124260355,3295.6,355234.196974167,19761.581941153,1.00392096996368,1410.04256767757
