gap_tol,coeff,units_started,start_events,units_stopped,startup_mwh,startup_cost_usd,obj,nh3_t,relgap,nodes
0.02,0,3940,878,3922,2955,0,-12993835.5480159,81162.6637723129,0.0019970549640158,1
0.02,0.053,231,79,213,173.25,9182.24999999999,-12959079.7215861,81516.455681887,0.000489324007059174,1
