RelativePath,AuditStatus,HardConstraintsPassed,MaxPowerResidualKW,MaxStorageResidualKG,MaxStorageLowerViolationKG,MaxStorageUpperViolationKG,MaxHBLowerViolation,MaxHBUpperViolation,MaxHBRampViolation,BuySellOverlapKWh,CO2MarginKG,TerminalBacklogKG,MaxBacklogKG
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp025_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3779.72283846885,62866.0980759952,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp025_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,6.3664629124105e-12,0,0,0,4.85167461761193e-14,0,-3842.68782296777,105099.30520024,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp050_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.54702933691442e-11,5.91171556152403e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,7.45058059692383e-09,12740.7184947576,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp050_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,4.09272615797818e-12,0,0,0,3.83026943495679e-15,0,-3276.00221373886,43765.2617968621,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp050_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3764.53502405807,54882.7547590111,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_cp050_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,4.54747350886464e-12,0,0,0,4.85167461761193e-14,0,-7035.31390604377,93519.0231577756,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_gate_2022_latest.mat,audited,1,5.82076609134674e-10,3.54702933691442e-11,1.00044417195022e-11,1.81898940354586e-12,0,0,3.21964677141295e-15,0,3.72529029846191e-09,21709.6984585136,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp025_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.54702933691442e-11,3.63797880709171e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-1.11758708953857e-08,21393.5170046361,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp025_hb005_gate_2022_latest.mat,audited,0,8.51287040859461e-10,2.27373675443232e-11,4.54747350886464e-12,0,0,0,3.05311331771918e-15,0,-448.391107555479,50762.518651816,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp025_hb010_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.36513039655983e-11,4.09272615797818e-12,1.81898940354586e-12,0,0,3.7470027081099e-15,0,-3779.72283846885,61867.4404679296,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp025_hb020_gate_2022_latest.mat,audited,0,8.51287040859461e-10,3.50155460182577e-11,4.54747350886464e-12,0,0,0,4.85167461761193e-14,0,-3802.11381699517,102928.968419868,1457974.65732877
runs/stage5/joint_grid/rolling/v51_contract_plan_and_hb_smoothing_h2q050_l1_soft_cp050_gate_2022_latest.mat,audited,1,8.51287040859461e-10,3.54702933691442e-11,3.63797880709171e-12,1.81898940354586e-12,0,0,3.21964677141295e-15,0,-7.45058059692383e-09,14574.7657440995,1457974.65732877
